Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Best Nights,Bike Parking,Caters,Coat Check,Cuisine,Delivery,Dogs Allowed,Drive-Thru,Good For,Good For Dancing,Good for Groups,Good for Kids,Good for Working,Happy Hour,Has Pool Table,Has TV,Music,Noise Level,Outdoor Seating,Parking,Price range,Rating,Review Counts,Smoking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,Neighborhood1,Neighborhood2,Neighborhood3
No,Yes,Full Bar,Casual,Casual,Tue,Yes,No,No,Burgers;Bars,No,No,No,Dinner,No,Yes,No,,Yes,No,Yes,Juke Box,Average,Yes,Street,$11-30 and Inexpensive,4,388,Outdoor Area/ Patio Only,Yes,No,Yes,Yes,Free,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Classy,Casual,Tue,Yes,Yes,No,Basque;Spanish;Tapas Bars,Yes,No,No,Dinner,No,No,No,,Yes,No,Yes,Juke Box,Average,No,Street,$11-30 and Inexpensive,4,58,Outdoor Area/ Patio Only,Yes,Yes,Yes,Yes,Free,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Casual,Casual,Tue,Yes,Yes,No,Latin American;Puerto Rican,Yes,No,No,Dinner,No,No,Yes,,Yes,No,Yes,Juke Box,Average,No,Street,Under $10,4,23,Outdoor Area/ Patio Only,Yes,No,Yes,Yes,No,East Village,Alphabet City,
No,Yes,No,Casual,Casual,Tue,Yes,Yes,No,Asian Fusion;Street Vendors;Chinese,No,No,No,Dinner,No,Yes,Yes,,Yes,No,No,Juke Box,Average,Yes,Garage,Under $10,5,17,Outdoor Area/ Patio Only,Yes,No,No,Yes,No,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Tue,Yes,No,No,Mexican,Yes,No,No,Brunch,No,Yes,No,,Yes,No,No,Juke Box,Average,No,Street,$11-30 and Inexpensive,4,379,Outdoor Area/ Patio Only,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
No,Yes,Full Bar,Trendy,Casual,Tue,Yes,No,No,Cuban;American (New),No,No,No,Late night,No,Yes,No,,Yes,No,No,Juke Box,Average,No,Street,$11-30 and Inexpensive,4,512,Outdoor Area/ Patio Only,No,Yes,Yes,No,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Trendy,Casual,Tue,No,Yes,No,Cafes;Breakfast & Brunch;American (Traditional),Yes,No,No,Brunch,No,Yes,Yes,,Yes,No,Yes,Juke Box,Average,No,Street,$11-30 and Inexpensive,4,32,Outdoor Area/ Patio Only,Yes,No,Yes,No,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Romantic,Casual,Tue,Yes,Yes,No,French,No,No,No,Dinner,No,No,No,,Yes,No,No,Juke Box,Quiet,Yes,Street,$11-30 and Inexpensive,4,183,Outdoor Area/ Patio Only,Yes,Yes,Yes,No,Free,East Village,Alphabet City,
No,Yes,Full Bar,Intimate,Casual,Tue,Yes,Yes,No,Japanese;Bars,No,No,No,Dinner,No,Yes,No,,Yes,No,No,Background,Average,No,Street,$31-60 and Moderate,4.5,22,Outdoor Area/ Patio Only,No,Yes,Yes,No,No,East Village,Alphabet City,
No,Yes,No,Casual,Casual,Tue,Yes,Yes,No,Coffee & Tea;Breakfast & Brunch,No,No,No,Breakfast,No,No,No,Yes,Yes,No,No,Background,Quiet,No,Street,$11-30 and Inexpensive,4.5,55,Outdoor Area/ Patio Only,Yes,No,No,Yes,Free,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Casual,Casual,Tue,Yes,Yes,No,Pizza,Yes,No,No,Dinner,No,Yes,Yes,Yes,Yes,No,No,Background,Average,No,Street,$11-30 and Inexpensive,4,117,Outdoor Area/ Patio Only,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Casual,Casual,Fri,Yes,No,No,Wine Bars;Arabian;Lebanese,No,No,No,Dinner,No,Yes,Yes,Yes,No,No,No,Background,Average,Yes,Street,$11-30 and Inexpensive,4,139,No,Yes,Yes,Yes,Yes,Free,East Village,Alphabet City,
No,Yes,Full Bar,Divey,Casual,Mon,Yes,Yes,No,Southern;Bars;Breakfast & Brunch,No,No,No,Late night,No,Yes,No,Yes,Yes,No,Yes,Background,Average,No,Street,$11-30 and Inexpensive,4,135,No,Yes,Yes,Yes,Yes,Free,East Village,Alphabet City,
No,Yes,No,Casual,Casual,Mon,Yes,No,No,Cafes;American (Traditional),Yes,No,No,Lunch,No,No,Yes,Yes,Yes,No,No,Background,Average,No,Street,Under $10,4,99,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Casual,Casual,Mon,Yes,Yes,No,Belgian;Desserts;Breakfast & Brunch,No,No,No,Brunch,No,Yes,Yes,Yes,Yes,No,No,Background,Average,No,Street,$11-30 and Inexpensive,4,358,No,Yes,No,No,Yes,Free,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Intimate,Casual,Mon,Yes,No,No,Japanese;Sushi Bars,No,No,No,Dinner,No,No,No,Yes,Yes,No,No,Background,Quiet,No,Street,Above $61 and Pricey,4.5,189,No,No,Yes,Yes,Yes,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Romantic,Casual,Mon,Yes,Yes,No,Italian,Yes,No,No,Dinner,No,Yes,No,Yes,Yes,No,No,Background,Average,Yes,Street,$11-30 and Inexpensive,4,336,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
Yes,Yes,Beer & Wine Only,Romantic,Casual,Mon,No,Yes,No,Basque;Tapas/Small Plates,No,No,No,Dinner,No,Yes,Yes,Yes,Yes,No,No,Background,Average,No,Street,$31-60 and Moderate,5,9,No,Yes,Yes,Yes,Yes,Free,East Village,Alphabet City,
Yes,Yes,Full Bar,Hipster,Casual,Fri,Yes,No,No,Bars;Cafes,No,No,No,Dinner,No,Yes,No,Yes,Yes,No,Yes,Background,Average,No,Street,$11-30 and Inexpensive,4,56,No,No,No,No,Yes,Free,East Village,Alphabet City,
Yes,Yes,Beer & Wine Only,Intimate,Casual,Fri,Yes,No,No,American (New);Vegan;Vegetarian,No,No,No,Dinner,No,No,No,Yes,Yes,No,No,Background,Average,No,Street,$11-30 and Inexpensive,4.5,24,No,No,Yes,Yes,Yes,No,East Village,Alphabet City,
